"y3_hhid","reg","dis","ward","id","con","ccm_leg10","split_leg10","ccm_prez10","split_prez10"
"2243-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2244-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2245-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2246-001","SINGIDA","IRAMBA","KIDARU",695,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2247-001","SINGIDA","IRAMBA","TULYA",696,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2248-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2249-001","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2249-004","TABORA","IGUNGA","SUNGWIZI",721,"IGUNGA",1,49.68,1,51.33
"2250-001","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2250-002","SINGIDA","IRAMBA","MTEKENTE",697,"IRAMBA MAGHARIBI",1,80.24,1,66.47
