"","y2_hhid","reg","dis","ward","id","con","ccm_prez05","split_prez05"
"136","0202012001022301","ARUSHA","ARUMERU","KIKWE",2,"ARUMERU MASHARIKI",1,77.8
"137","0202012001049801","ARUSHA","ARUMERU","KIKWE",2,"ARUMERU MASHARIKI",1,77.8
"138","0202012001058601","ARUSHA","ARUMERU","KIKWE",2,"ARUMERU MASHARIKI",1,77.8
"139","0202024305008801","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"140","0202024305014801","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"141","0202024305017601","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"142","0202024305017608","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"143","0202024305017609","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"144","0202024305021701","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"145","0202024305028301","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"146","0202024305029701","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"147","0202024305031701","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"148","0202024305033601","ARUSHA","ARUMERU","KIRANYI",3,"ARUMERU MAGHARIBI",1,79.2
"149","0203009002004401","ARUSHA","ARUSHA","TERRAT",12,"ARUSHA  MJINI",NA,NA
"150","0203009002011501","ARUSHA","ARUSHA","TERRAT",12,"ARUSHA  MJINI",NA,NA
"151","0203009002019301","ARUSHA","ARUSHA","TERRAT",12,"ARUSHA  MJINI",NA,NA
"152","0203009002031701","ARUSHA","ARUSHA","TERRAT",12,"ARUSHA  MJINI",NA,NA
"153","0203009002048301","ARUSHA","ARUSHA","TERRAT",12,"ARUSHA  MJINI",NA,NA
"154","0203009002062801","ARUSHA","ARUSHA","TERRAT",12,"ARUSHA  MJINI",NA,NA
"155","0203009002068501","ARUSHA","ARUSHA","TERRAT",12,"ARUSHA  MJINI",NA,NA
"156","0203009002115601","ARUSHA","ARUSHA","TERRAT",12,"ARUSHA  MJINI",NA,NA
"157","0203010357000301","ARUSHA","ARUSHA","DARAJA MBILI",13,"ARUSHA  MJINI",NA,NA
"158","0203010357000401","ARUSHA","ARUSHA","DARAJA MBILI",13,"ARUSHA  MJINI",NA,NA
"159","0203010357003801","ARUSHA","ARUSHA","DARAJA MBILI",13,"ARUSHA  MJINI",NA,NA
"160","0203010357003901","ARUSHA","ARUSHA","DARAJA MBILI",13,"ARUSHA  MJINI",NA,NA
"161","0203010357006001","ARUSHA","ARUSHA","DARAJA MBILI",13,"ARUSHA  MJINI",NA,NA
"162","0203010357007801","ARUSHA","ARUSHA","DARAJA MBILI",13,"ARUSHA  MJINI",NA,NA
"163","0203010357008301","ARUSHA","ARUSHA","DARAJA MBILI",13,"ARUSHA  MJINI",NA,NA
"164","0203010357012401","ARUSHA","ARUSHA","DARAJA MBILI",13,"ARUSHA  MJINI",NA,NA
"165","0203013019000101","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"166","0203013019000801","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"167","0203013019004401","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"168","0203013019006801","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"169","0203013019010101","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"170","0203013019015301","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"171","0203013019015501","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"172","0203013019022901","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"173","0203014016000601","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"174","0203014016005001","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"175","0203014016005002","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"176","0203014016005401","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"177","0203014016005501","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"178","0203014016008601","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"179","0203014016009001","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
