id,reg,dis,con,ward
303,MANYARA,BABATI,BABATI MJINI,SIGINO
304,MANYARA,BABATI,BABATI VIJIJINI,BASHNET
305,MANYARA,HANANG,HANANG,MOGITU
306,MANYARA,MBULU,MBULU,DONGOBESH
307,MANYARA,SIMANJIRO,SIMANJIRO,NABERERA
308,MANYARA,SIMANJIRO,SIMANJIRO,SHAMBARAI
309,MANYARA,SIMANJIRO,SIMANJIRO,MERERANI
310,MANYARA,KITETO,KITETO,MATUI
311,MOROGORO,KILOSA,GAIRO,CHAGONGWE
312,MOROGORO,KILOSA,MIKUMI,ZOMBO
313,DODOMA,MPWAPWA,KIBAKWE,KIBAKWE
314,PWANI,KIBAHA,KIBAHA VIJIJINI,MLANDIZI
315,DAR-ES-SALAAM,ILALA,UKONGA,SEGEREA
316,DODOMA,KONGWA,KONGWA,MKOKA
317,DODOMA,DODOMA URBAN,DODOMA MJINI,MIYUJI
318,DODOMA,DODOMA URBAN,DODOMA MJINI,NZUGUNI
319,DAR-ES-SALAAM,ILALA,UKONGA,CHANIKA
320,MOROGORO,MVOMERO,MVOMERO,SUNGAJI
321,DODOMA,KONDOA,KONDOA KUSINI,MAKORONGO
322,ARUSHA,MONDULI,MONDULI,ESILALEI
323,ARUSHA,MONDULI,MONDULI,MAKUYUNI
324,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,BANGATA
325,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,BWAWANI
326,ARUSHA,ARUSHA,ARUSHA  MJINI,LEVOLOSI
327,ARUSHA,ARUMERU,ARUMERU MASHARIKI,USA RIVER
328,MANYARA,KITETO,KITETO,PARTIMBO
329,TANGA,KILINDI,KILINDI,KILINDI
330,MOROGORO,MOROGORO URBAN,MOROGORO MJINI,KINGOLWIRA
331,TABORA,TABORA URBAN,TABORA MJINI,CHEMCHEM
332,KILIMANJARO,MOSHI RURAL,MOSHI VIJIJINI,KINDI
333,ARUSHA,ARUSHA,ARUSHA  MJINI,SOKONI
334,ARUSHA,KARATU,KARATU,QURUS
335,ARUSHA,ARUSHA,ARUSHA  MJINI,LEMARA
